lowest_taxon,transient,genus,site_code,collection_date,max_forklength,my_rep,carbon,nitrogen,sulfur,c_percent,n_percent,s_percent,order,family,species,guild,transient_type,is_diadromous,id
G.affinis,Resident,Gambusia,EM,2020-05-15,36,1,-25.494545223111984,16.095191204863667,NA,44.21,13.15,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,EM,2020-05-15,36,2,-25.43626193123162,16.13701118539289,NA,42.99,13,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-05-15,37,1,-29.798432520665255,9.799437398635536,NA,41.33,11.9,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-05-15,37,8,-29.319616454800123,15.445070593434783,NA,45.45,13.2,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,SF,2020-05-15,37,10,-24.093584959255814,17.075262699050857,NA,42.74,12.98,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,EM,2020-05-15,38,3,-25.443419539674217,16.887109908244962,NA,46.46,13.75,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,PL,2020-05-15,38,5,-24.056883447130215,16.480250959390197,NA,36.66,10.21,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,PD,2020-05-15,38,1,-26.323993869928156,9.09597477167798,NA,44.57,13.36,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,PD,2020-05-15,45,1,-24.379229169230378,11.47484892762688,NA,45.91,13.67,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-05-15,39,3,-29.24830342371383,11.553234491482248,NA,45.95,13.19,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-05-15,40,6,-29.40111706175589,10.452951208965995,NA,46.02,13.49,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,WM,2020-05-15,41,1,-26.222741146619853,13.236964873524554,NA,44.87,11.97,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,WM,2020-05-15,41,2,-26.91314850186714,13.936446422966194,NA,43.16,11.23,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,WM,2020-05-15,41,6,-28.26843039596944,13.626905737293743,NA,39.56,11.11,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,PL,2020-05-15,42,2,-24.37461874700527,16.683606719832177,NA,43.94,12.94,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-05-15,42,4,-28.457747536242888,14.481944530370605,NA,42.9,12.5,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,PL,2020-05-15,43,4,-24.513564087143564,17.513137148565797,NA,44.19,13.21,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-05-15,43,7,-29.725081974405064,12.40340755029178,NA,48.22,13.7,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,WM,2020-05-15,44,8,-25.093169349425324,12.639993551156255,NA,43.83,12.52,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,PL,2020-05-15,45,3,-24.416506680429315,17.03293567465083,NA,45.2,13.47,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,SF,2020-05-15,45,9,-23.601093793189065,14.690193520323382,NA,43.37,12.22,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,WM,2020-05-15,45,4,-25.285176128695277,12.817878945195297,NA,41.18,11.47,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-05-15,46,2,-28.13887641152845,9.50898681626644,NA,46.97,12.92,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,PL,2020-05-15,46,1,-24.884663807477125,16.770628621587136,NA,46.59,14.17,NA,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,MR,2020-05-15,43,2,-30.697135873001585,12.40220372197586,NA,46.92,14.75,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,PD,2020-05-15,44,1,-28.24976341718559,8.739644810685324,NA,46.01,13.92,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-05-15,45,4,-27.034453644915946,18.12990082171033,NA,45.64,13.61,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-05-15,85,3,-24.10699179189084,16.81672530958592,NA,44.96,13.86,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,SF,2020-05-15,95,2,-24.30579510087732,16.43606659431113,NA,41.23,12.51,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,MR,2020-05-15,105,1,-31.9289876930628,12.747388400936268,NA,47.92,14.98,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,SF,2020-05-15,111,3,-24.70577343515248,16.249774361172605,NA,48.18,14.88,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-05-15,112,2,-24.31456243672636,16.595516570943218,NA,43.84,13.24,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,TR,2020-05-15,116,1,-17.60618858425302,19.345218324355564,NA,46.38,14.54,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,TR,2020-05-15,116,2,-17.10165057227954,19.844812175520055,NA,46.28,14.5,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,SF,2020-05-15,194,1,-22.15961979318096,15.153167648265288,NA,43.06,13.57,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-05-15,210,1,-25.20312839910108,15.658395914511406,NA,46.73,14.31,NA,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
I.punctatus,Resident,Ictalurus,PL,2020-05-15,110,1,-22.970980732462735,15.811841263904713,NA,47.45,15.29,NA,Siluriformes,Ictaluridae,punctatus,Fish,Freshwater,Freshwater,NA
I.punctatus,Resident,Ictalurus,AR,2020-05-15,120,1,-24.81660025700848,16.620768170204407,NA,46.19,13.98,NA,Siluriformes,Ictaluridae,punctatus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,PD,2020-05-15,167,1,-25.302283223810896,9.97689347198826,NA,43.69,13.81,NA,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-05-15,24,2,-24.585063861125704,18.94345935385127,NA,44.77,13.82,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-05-15,42,7,-29.658628299911307,8.205080905761108,NA,46.02,14.21,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-05-15,51,6,-29.082413801102525,7.097698051869137,NA,37.4,11.37,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-05-15,52,5,-29.290831811309957,8.205080905761108,NA,45.3,13.78,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-05-15,59,3,-24.911388895994698,17.951579085519125,NA,45.33,13.99,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-05-15,71,4,-25.00804603292982,10.409779496691488,NA,46.09,13.99,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,TR,2020-05-15,73,1,-23.429270730524745,14.030347172371306,NA,45.49,14.17,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-05-15,75,3,-25.08058367373731,10.121859954679572,NA,44.6,13.59,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PL,2020-05-15,103,1,-23.286086504946155,18.10665507779101,NA,47.08,14.48,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PL,2020-05-15,79,1,-24.61303387609457,17.10387329588336,NA,45.38,13.84,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-05-15,82,1,-23.688948718350677,15.898336580819388,NA,44.72,13.66,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-05-15,100,1,-22.84193577517976,17.407807161763433,NA,45.5,14.21,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,WM,2020-05-15,85,1,-26.18693687493783,13.441163276881351,NA,47.52,14.09,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-05-15,90,1,-27.18987599966963,18.84380175096632,NA,46.22,14.22,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,MR,2020-05-15,91,1,-33.63240039171505,13.925016736508296,NA,47.43,15.13,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PL,2020-05-15,94,3,-24.54753266556971,16.96730721848223,NA,47.4,14.66,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PL,2020-05-15,95,2,-24.015535906831474,16.155358169319648,NA,47.04,14.51,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-05-15,96,2,-25.03767408340048,11.2856186629515,NA,44,13.51,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,MR,2020-05-15,103,2,-29.208642728668604,12.394805066932664,NA,46.02,14.71,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-05-15,110,1,-24.336817441232355,10.32622242680691,NA,45.37,14.25,NA,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,MR,2020-05-15,125,1,-32.15713245690631,14.228238403751394,NA,47.19,14.94,NA,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-05-15,57,1,-31.780329860334952,8.91528562282199,NA,45.54,14.12,NA,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-05-15,62,3,-33.19138857472951,7.248052798857153,NA,44.16,13.67,NA,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,EM,2020-05-15,75,2,-23.315064015866845,15.256014345978942,NA,45.41,13.26,NA,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-05-15,83,2,-30.040262524626087,9.648223724178512,NA,44.29,14.11,NA,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,EM,2020-05-15,85,1,-24.56106545581018,16.33538673692768,NA,46.29,14.39,NA,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,AR,2020-05-15,120,1,-24.007807789186188,17.000730760365986,NA,42.93,13.35,NA,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,32,10,-26.370831481695085,17.649929648809376,NA,42.23,12.33,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,35,8,-30.816738449086337,19.190697272928738,NA,46.61,13.9,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,WM,2020-05-15,35,1,-24.0292083057839,12.42156071168985,NA,47.19,13.17,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,38,7,-27.433234686718173,20.258532184013053,NA,45.89,13.57,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,38,9,-27.510616405446527,17.488124290389685,NA,49.43,15.89,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,45,5,-27.15408795745661,20.079554204565778,NA,46.01,13.81,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,46,6,-28.72495715306343,18.185595835378912,NA,44.72,12.99,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,46,7,-28.522737247236556,18.30217609361918,NA,45.33,13.85,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-05-15,47,5,-28.411456190174,8.817413351634748,NA,45.58,13.91,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,48,4,-26.22359885991807,18.031362383587663,NA,42.92,12.86,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,MR,2020-05-15,140,1,-28.861821764798865,15.074438405360038,NA,45.57,14.61,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,MR,2020-05-15,49,1,-32.05687152929795,11.666468636976656,NA,49.15,15.5,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-05-15,49,4,-27.171006168816973,8.534814809561906,NA,45.46,13.62,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,50,3,-25.32889780459255,17.84333495574137,NA,46.04,13.91,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,50,6,-25.975127595410527,17.44817570898418,NA,47.02,14.17,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,50,8,-28.64018820264105,17.91525023652862,NA,45.69,13.52,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,GC,2020-05-15,51,2,-32.61000377495362,11.765488596641104,NA,44.18,13.6,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-05-15,55,3,-28.343165186533145,8.407645465629127,NA,45.9,14.05,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,MR,2020-05-15,113,2,-32.00264878273425,14.05799102247537,NA,45.67,14.65,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,MR,2020-05-15,58,2,-32.14587867931762,12.288022685777287,NA,45.36,14.41,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,GC,2020-05-15,59,3,-32.06948961136584,11.241961381386446,NA,45.43,14.19,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,MR,2020-05-15,60,3,-30.992878011821475,12.311192447726098,NA,45.86,14.71,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,61,5,-27.240989864344037,19.181553041552277,NA,42.56,12.31,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,GC,2020-05-15,63,1,-31.486061279780543,10.159669542158063,NA,44.53,13.99,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PL,2020-05-15,66,6,-22.515560646546568,12.54818703851046,NA,45.09,13.82,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,69,4,-27.10311265582571,17.43887918130544,NA,45.17,14.08,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,70,4,-23.59381320661771,17.15203296058946,NA,44.3,13.55,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,71,4,-23.480264370033204,17.48031008493086,NA,44.26,13.63,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,71,3,-23.280786684141503,17.214466033316963,NA,43.82,13.69,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,87,3,-24.004021165810393,15.801666016596153,NA,44.82,13.99,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,73,6,-24.183039601867048,16.310193463812126,NA,45.93,14.1,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,74,3,-26.84880580455859,16.927333048164925,NA,44.39,13.76,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-05-15,83,2,-27.658224064685086,9.837967259409089,NA,45.75,14.1,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-05-15,74,2,-27.26477889023427,8.735661630535105,NA,45.39,14,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,78,5,-23.98969969092586,16.964733742406942,NA,44.07,13.45,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,75,5,-24.346713600547417,17.776363687864514,NA,43.53,13.61,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PL,2020-05-15,75,5,-24.66307096871767,16.831035511187658,NA,45.64,13.81,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PL,2020-05-15,77,4,-24.890790798410563,16.641760590439347,NA,43.53,13.25,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,78,2,-23.603914169924956,16.98564834636762,NA,46.09,14,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,105,2,-22.084943531283045,15.71003037759288,NA,43.47,13.48,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,86,2,-24.311932875827836,15.986951264690688,NA,44.55,14.03,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,91,2,-25.771320952804317,15.316314479551496,NA,45.37,14.01,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-05-15,91,1,-26.79390231647192,9.41917519830085,NA,46.48,14.25,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-05-15,114,1,-27.278029383478017,9.28370094605494,NA,43.92,13.48,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,SF,2020-05-15,97,1,-23.39535848321776,16.726078286980833,NA,45.26,14.09,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-05-15,105,1,-25.347476200692448,14.483167634024026,NA,45.48,13.86,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PL,2020-05-15,107,3,-24.48743056195903,16.48872980345135,NA,49.13,15.05,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,WM,2020-05-15,107,2,-27.755823558836344,13.839524318672296,NA,48.47,14.53,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-05-15,122,1,-24.754244098200623,17.09725820995553,NA,46.31,14.14,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PL,2020-05-15,125,1,-21.27178148705802,15.792037010058635,NA,48.8,14.85,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PL,2020-05-15,132,2,-24.240308594310235,15.68733173475106,NA,44.31,13.61,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,TR,2020-05-15,155,6,-28.420629608573517,12.03802745075776,NA,46.41,14.55,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,TR,2020-05-15,155,1,-23.980695103206873,21.001447637003913,NA,47.48,14.9,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,TR,2020-05-15,155,2,-21.20930347784142,19.143362222874963,NA,43.93,13.82,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,TR,2020-05-15,155,3,-23.034813739345473,18.037190786761265,NA,48.88,15.34,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,TR,2020-05-15,155,4,-23.45169464216801,19.552120828373184,NA,46.69,14.62,NA,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,EM,2020-05-15,78,1,-25.148320232832653,15.619825151866689,NA,45.18,13.8,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,EM,2020-05-15,25,1,-22.123311737797692,14.250703941330576,NA,42.28,12.1,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-05-15,38,9,-26.418899318851985,19.45514226503342,NA,46.01,13.8,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-05-15,51,10,-31.616847315582504,14.280432796075983,NA,41.71,13.28,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-05-15,52,8,-25.34321302147776,18.00320854412405,NA,45.22,13.67,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-05-15,53,4,-27.89950175097924,19.046911592810982,NA,46.64,13.84,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-05-15,54,7,-27.570251762619456,18.63365344925575,NA,35.32,10.63,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-05-15,55,6,-26.357548389343947,18.851845705098786,NA,45.83,13.88,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-05-15,55,8,-25.296193365173252,17.07769697705647,NA,45.45,13.56,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-05-15,56,9,-24.678388446051272,17.000174802069132,NA,46.75,13.98,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-05-15,57,7,-30.437729461555477,13.76193949635262,NA,43.4,13.54,NA,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
