pass1,pass2,pass3,site_code,collection_date,genus,species,common_name,order,family,lowest_taxon,guild,transient_type,transient,is_diadromous
9,5,2,MR,2018-02-05,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
0,0,1,MR,2018-02-05,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
2,2,0,MR,2018-02-05,Lepomis,microlophus,Redear sunfish,Centrarchiformes,Centrarchidae,L. microlophus,Fish,Freshwater,Freshwater,Freshwater
1,0,1,MR,2018-02-05,Lepomis,miniatus,Redspotted sunfish,Centrarchiformes,Centrarchidae,L. miniatus,Fish,Freshwater,Freshwater,Freshwater
2,1,4,MR,2018-02-05,Mugil,cephalus,Striped Mullet,Mugiliformes,Mugilidae,M. cephalus,Fish,Anadromous,Transient,Diadromous
1,0,0,MR,2018-02-05,Noturus,gyrinus,Madtom catfish,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
40,7,5,MR,2018-02-05,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
3,0,0,MR,2018-02-05,Poecilia,formosa,Amazon molly,Cyprinodontiformes,Poeciliidae,P. formosa,Fish,Freshwater,Freshwater,Freshwater
122,63,15,MR,2018-02-05,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
0,1,1,PD,2018-02-05,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
0,2,1,PD,2018-02-05,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
0,1,0,PD,2018-02-05,Ameiurus,melas,Black bullhead catfish,Siluriformes,Ictaluridae,A. melas,Fish,Freshwater,Freshwater,Freshwater
3,1,2,PD,2018-02-05,Fundulus,notatus,Blackstripe topminnow,Cyprinodontiformes,Fundulidae,F. notatus,Fish,Freshwater,Freshwater,Freshwater
1,1,2,PD,2018-02-05,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,2,2,PD,2018-02-05,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
7,5,0,PD,2018-02-05,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,3,5,PD,2018-02-05,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
0,1,0,PD,2018-02-05,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
7,1,2,EM,2018-02-09,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
1,0,2,EM,2018-02-09,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
1,3,0,EM,2018-02-09,Dorosoma,cepedianum,Gizzard shad,Clupeiformes,Clupeidae,D. cepedianum,Fish,Freshwater,Freshwater,Freshwater
8,4,2,EM,2018-02-09,Etheostoma,gracile,Slough darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
71,44,33,EM,2018-02-09,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,1,0,EM,2018-02-09,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
1,3,0,EM,2018-02-09,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
15,12,5,EM,2018-02-09,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
105,70,30,EM,2018-02-09,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,1,0,EM,2018-02-09,Lepomis,humilis,Orangespotted sunfish,Centrarchiformes,Centrarchidae,L. humilis,Fish,Freshwater,Freshwater,Freshwater
4,4,3,EM,2018-02-09,Noturus,gyrinus,Madtom catfish,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
94,37,36,EM,2018-02-09,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
17,14,7,EM,2018-02-09,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
0,0,1,EM,2018-02-09,Pomoxis,annularis,White crappie,Centrarchiformes,Centrarchidae,P. annularis,Fish,Freshwater,Freshwater,Freshwater
6,1,0,WM,2018-02-09,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
25,17,5,WM,2018-02-09,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,2,WM,2018-02-09,Etheostoma,gracile,Slough darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
56,7,4,WM,2018-02-09,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,1,0,WM,2018-02-09,Ictalurus,punctatus,Channel catfish,Siluriformes,Ictaluridae,I. punctatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,WM,2018-02-09,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
5,4,2,WM,2018-02-09,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,WM,2018-02-09,Lepomis,humilis,Orangespotted sunfish,Centrarchiformes,Centrarchidae,L. humilis,Fish,Freshwater,Freshwater,Freshwater
1,2,0,WM,2018-02-09,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
18,14,1,WM,2018-02-09,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,0,2,WM,2018-02-09,Notropis,texanus,Ribbon shiner,Cypriniformes,Leuciscidae,N. texanus,Fish,Freshwater,Freshwater,Freshwater
48,35,17,WM,2018-02-09,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
0,0,2,WM,2018-02-09,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
0,1,0,WM,2018-02-09,Pylodictis,olivaris,Flathead catfish,Siluriformes,Ictaluridae,P. olivaris,Fish,Freshwater,Freshwater,Freshwater
0,1,0,GC,2018-02-11,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
6,2,0,GC,2018-02-11,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,GC,2018-02-11,Etheostoma,gracile,Slough darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
1,2,0,GC,2018-02-11,Fundulus,chrysotus,Golden topminnow,Cyprinodontiformes,Fundulidae,F. chrysotus,Fish,Freshwater,Freshwater,Freshwater
63,42,5,GC,2018-02-11,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
2,0,1,GC,2018-02-11,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
13,1,0,GC,2018-02-11,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
1,0,1,GC,2018-02-11,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
1,4,1,GC,2018-02-11,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
4,4,1,GC,2018-02-11,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
2,0,0,GC,2018-02-11,Lepomis,miniatus,Redspot sunfish,Centrarchiformes,Centrarchidae,L. miniatus,Fish,Freshwater,Freshwater,Freshwater
4,8,0,GC,2018-02-11,Notropis,texanus,Mimic shiner,Cypriniformes,Leuciscidae,N. texanus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,GC,2018-02-11,Noturus,gyrinus,Madtom catfish,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
19,13,2,GC,2018-02-11,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,1,GC,2018-02-11,Micropterus,salmoides,Largemouth bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
2,3,0,PL,2018-02-11,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
8,9,6,PL,2018-02-11,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
3,0,0,PL,2018-02-11,Ameiurus,natalis,Yellow bullhead catfish,Siluriformes,Ictaluridae,A. natalis,Fish,Freshwater,Freshwater,Freshwater
81,38,39,PL,2018-02-11,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
2,2,0,PL,2018-02-11,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
47,32,75,PL,2018-02-11,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,2,1,PL,2018-02-11,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
52,42,40,PL,2018-02-11,Macrobrachium,ohione,Macrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
17,18,39,PL,2018-02-11,Notropis,texanus,Mimic shiner,Cypriniformes,Leuciscidae,N. texanus,Fish,Freshwater,Freshwater,Freshwater
144,103,75,PL,2018-02-11,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,PL,2018-02-11,Poecilia,formosa,Amazon molly,Cyprinodontiformes,Poeciliidae,P. formosa,Fish,Freshwater,Freshwater,Freshwater
10,NA,NA,EM,2018-03-02,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
15,NA,NA,EM,2018-03-02,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
2,0,0,MR,2018-03-05,Brevoortia,patronus,Menhaden,Clupeiformes,Clupeidae,B. patronus,Fish,Freshwater,Freshwater,Freshwater
5,0,1,MR,2018-03-05,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,MR,2018-03-05,Fundulus,grandis,killifish,Cyprinodontiformes,Fundulidae,F. grandis,Fish,Euryhaline,Transient,Euryhaline
0,3,0,MR,2018-03-05,Anchoa,mitchilli,Bay anchovy,Clupeiformes,Engraulidae,A. mitchilli,Fish,Anadromous,Transient,Diadromous
1,0,0,MR,2018-03-05,Anguilla,rostrata,American eel,Anguilliformes,Anguillidae,A. rostrata,Fish,Catadromous,Transient,Diadromous
1,4,0,MR,2018-03-05,Cyprinodon,variegatus,Sheepshead minnow,Cyprinodontiformes,Cyprinodontidae,C. variegatus,Fish,Euryhaline,Transient,Euryhaline
6,5,1,MR,2018-03-05,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,MR,2018-03-05,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,MR,2018-03-05,Mugil,cephalus,Striped mullet,Mugiliformes,Mugilidae,M. cephalus,Fish,Anadromous,Transient,Diadromous
5,5,4,MR,2018-03-05,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
19,1,1,MR,2018-03-05,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
1,0,0,PD,2018-03-05,Ameiurus,melas,Black bullhead catfish,Siluriformes,Ictaluridae,A. melas,Fish,Freshwater,Freshwater,Freshwater
4,2,1,PD,2018-03-05,Fundulus,notatus,Blackstripe topminnow,Cyprinodontiformes,Fundulidae,F. notatus,Fish,Freshwater,Freshwater,Freshwater
4,1,1,PD,2018-03-05,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PD,2018-03-05,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
14,7,0,PD,2018-03-05,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
5,1,0,PD,2018-03-05,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PD,2018-03-05,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,1,1,PD,2018-03-05,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
1,1,0,PD,2018-03-05,Micropterus,salmoides,Largemouth bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
0,1,0,PD,2018-03-05,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,EM,2018-03-09,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
1,0,1,EM,2018-03-09,Procambarus,clarkii,Crawfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
0,1,0,EM,2018-03-09,Lepomis,megalotis,Bluegill hybrid,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,2,2,EM,2018-03-09,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,EM,2018-03-09,Dorosoma,cepedianum,Gizzard shad,Clupeiformes,Clupeidae,D. cepedianum,Fish,Freshwater,Freshwater,Freshwater
1,0,1,EM,2018-03-09,Etheostoma,gracile,Slough darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
65,59,49,EM,2018-03-09,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,1,0,EM,2018-03-09,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
1,1,1,EM,2018-03-09,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
2,2,2,EM,2018-03-09,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
18,33,32,EM,2018-03-09,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,EM,2018-03-09,Noturus,gyrinus,Madtom catfish,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
56,35,11,EM,2018-03-09,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,8,4,EM,2018-03-09,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
1,0,0,EM,2018-03-09,Pomoxis,nigromaculatus,Black crappie,Centrarchiformes,Centrarchidae,P. nigromaculatus,Fish,Freshwater,Freshwater,Freshwater
2,3,0,WM,2018-03-09,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
17,5,10,WM,2018-03-09,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
0,1,0,WM,2018-03-09,Etheostoma,gracile,Uni. Darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
1,1,0,WM,2018-03-09,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
8,7,31,WM,2018-03-09,Gambusia,affinis,Western Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
0,0,1,WM,2018-03-09,Ictalurus,punctatus,Channel catfish,Siluriformes,Ictaluridae,I. punctatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,WM,2018-03-09,Menidia,beryllina,Brook silverside,Atheriniformes,Atherinopsidae,M. beryllina,Fish,Freshwater,Freshwater,Freshwater
0,0,2,WM,2018-03-09,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
3,2,2,WM,2018-03-09,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
4,2,1,WM,2018-03-09,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,WM,2018-03-09,Lepomis,marginatus,Dollar sunfish,Centrarchiformes,Centrarchidae,L. marginatus,Fish,Freshwater,Freshwater,Freshwater
14,5,8,WM,2018-03-09,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,WM,2018-03-09,Lepomis,microlophus,Red-eared sunfish,Centrarchiformes,Centrarchidae,L. microlophus,Fish,Freshwater,Freshwater,Freshwater
44,14,16,WM,2018-03-09,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
0,3,1,WM,2018-03-09,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
0,0,1,WM,2018-03-09,Pomoxis,annularis,White crappi,Centrarchiformes,Centrarchidae,P. annularis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PL,2018-03-10,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
10,0,0,PL,2018-03-10,Procambarus,clarkii,Crayfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,PL,2018-03-10,Mugil,cephalus,Mullet,Mugiliformes,Mugilidae,M. cephalus,Fish,Anadromous,Transient,Diadromous
61,0,0,PL,2018-03-10,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PL,2018-03-10,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PL,2018-03-10,Ictalurus,punctatus,Channel catfish,Siluriformes,Ictaluridae,I. punctatus,Fish,Freshwater,Freshwater,Freshwater
9,0,0,PL,2018-03-10,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PL,2018-03-10,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
5,0,0,PL,2018-03-10,Macrobrachium,ohione,Macrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
30,0,0,PL,2018-03-10,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,PL,2018-03-10,Poecilia,formosa,Amazon molly,Cyprinodontiformes,Poeciliidae,P. formosa,Fish,Freshwater,Freshwater,Freshwater
3,0,0,PL,2018-03-10,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
1,0,0,PL,2018-03-10,Trinectes,maculatus,Hogchoker,Pleuronectiformes,Achiridae,T. maculatus,Fish,Freshwater,Freshwater,Freshwater
0,0,1,GC,2018-03-30,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
4,1,1,GC,2018-03-30,Procambarus,clarkii,Crawfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
2,1,0,GC,2018-03-30,Fundulus,chrysotus,Golden topminnow,Cyprinodontiformes,Fundulidae,F. chrysotus,Fish,Freshwater,Freshwater,Freshwater
79,24,18,GC,2018-03-30,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,2,2,GC,2018-03-30,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
2,2,1,GC,2018-03-30,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
10,6,5,GC,2018-03-30,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,2,3,GC,2018-03-30,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,GC,2018-03-30,Macrobrachium,ohione,Macrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
0,1,1,GC,2018-03-30,Micropterus,salmoides,Largemouth bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
1,0,1,GC,2018-03-30,Notropis,texanus,Weed shiner,Cypriniformes,Leuciscidae,N. texanus,Fish,Freshwater,Freshwater,Freshwater
15,18,11,GC,2018-03-30,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
0,0,2,PD,2018-03-30,Ameiurus,melas,Black bullhead catfish,Siluriformes,Ictaluridae,A. melas,Fish,Freshwater,Freshwater,Freshwater
3,1,2,PD,2018-03-30,Fundulus,chrysotus,Golden topminnow,Cyprinodontiformes,Fundulidae,F. chrysotus,Fish,Freshwater,Freshwater,Freshwater
2,2,2,PD,2018-03-30,Fundulus,notatus,Blackstripe topminnow,Cyprinodontiformes,Fundulidae,F. notatus,Fish,Freshwater,Freshwater,Freshwater
6,4,2,PD,2018-03-30,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,PD,2018-03-30,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PD,2018-03-30,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
0,0,2,PD,2018-03-30,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
2,1,0,PD,2018-03-30,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
0,0,1,PD,2018-03-30,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,0,2,PD,2018-03-30,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
12,7,15,EM,2018-03-31,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
35,9,47,EM,2018-03-31,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,0,1,EM,2018-03-31,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
13,5,2,EM,2018-03-31,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,EM,2018-03-31,Notropis,texanus,Mimic shiner,Cypriniformes,Leuciscidae,N. texanus,Fish,Freshwater,Freshwater,Freshwater
1,0,1,EM,2018-03-31,Noturus,gyrinus,Madtom catfish,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
10,4,16,EM,2018-03-31,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
13,9,18,EM,2018-03-31,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
20,2,1,WM,2018-03-31,Procambarus,clarkii,Crawfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,WM,2018-03-31,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
1,0,1,WM,2018-03-31,Cyprinella,venusta,Blacktail shiner,Cypriniformes,Leuciscidae,C. venusta,Fish,Freshwater,Freshwater,Freshwater
